# x_norm y_norm Actual_u
5.028251e-01 8.110687e-01 5.601050e-01
4.956563e-01 8.142599e-01 5.517380e-01
4.884885e-01 8.174512e-01 5.430410e-01
4.813208e-01 8.206424e-01 5.340280e-01
4.741530e-01 8.238336e-01 5.247140e-01
4.669852e-01 8.270249e-01 5.151130e-01
4.598174e-01 8.302161e-01 5.052390e-01
4.526496e-01 8.334074e-01 4.951070e-01
4.454818e-01 8.365986e-01 4.847330e-01
4.383141e-01 8.397898e-01 4.741320e-01
4.311463e-01 8.429811e-01 4.633200e-01
4.239785e-01 8.461733e-01 4.523110e-01
4.168107e-01 8.493646e-01 4.411230e-01
4.096429e-01 8.525558e-01 4.297700e-01
4.024752e-01 8.557470e-01 4.182700e-01
3.953074e-01 8.589383e-01 4.066390e-01
3.881396e-01 8.621295e-01 3.948920e-01
3.809708e-01 8.653207e-01 3.830470e-01
3.738030e-01 8.685120e-01 3.711190e-01
3.666353e-01 8.717032e-01 3.591260e-01
3.594675e-01 8.748945e-01 3.470840e-01
3.522997e-01 8.780857e-01 3.350090e-01
3.451319e-01 8.812779e-01 3.229180e-01
3.379641e-01 8.844692e-01 3.108280e-01
3.307963e-01 8.876604e-01 2.987550e-01
3.236286e-01 8.908517e-01 2.867150e-01
3.164608e-01 8.940429e-01 2.747240e-01
3.092930e-01 8.972341e-01 2.627990e-01
3.021252e-01 9.004254e-01 2.509560e-01
2.949574e-01 9.036166e-01 2.392110e-01
2.877897e-01 9.068078e-01 2.275790e-01
2.806219e-01 9.099991e-01 2.160750e-01
2.734541e-01 9.131903e-01 2.047170e-01
2.662853e-01 9.163826e-01 1.935180e-01
2.591175e-01 9.195738e-01 1.824930e-01
2.519498e-01 9.227650e-01 1.716570e-01
2.447820e-01 9.259563e-01 1.610250e-01
2.376142e-01 9.291475e-01 1.506110e-01
2.304464e-01 9.323387e-01 1.404280e-01
2.232786e-01 9.355300e-01 1.304900e-01
2.161109e-01 9.387212e-01 1.208110e-01
2.089431e-01 9.419125e-01 1.114030e-01
2.017753e-01 9.451037e-01 1.022790e-01
1.946075e-01 9.482949e-01 9.345000e-02
1.874397e-01 9.514872e-01 8.493000e-02
1.802719e-01 9.546784e-01 7.672900e-02
1.731042e-01 9.578697e-01 6.885800e-02
1.659364e-01 9.610609e-01 6.132800e-02
1.587686e-01 9.642521e-01 5.414900e-02
1.515998e-01 9.674434e-01 4.733100e-02
1.444320e-01 9.706346e-01 4.088300e-02
1.372643e-01 9.738258e-01 3.481300e-02
1.300965e-01 9.770171e-01 2.913200e-02
1.229287e-01 9.802083e-01 2.384500e-02
1.157609e-01 9.833996e-01 1.896100e-02
1.085931e-01 9.865918e-01 1.448600e-02
1.014254e-01 9.897830e-01 1.042800e-02
9.425757e-02 9.929743e-01 6.791000e-03
8.708979e-02 9.961655e-01 3.582000e-03
6.931649e-01 7.177345e-01 6.374770e-01
6.859972e-01 7.209257e-01 6.419460e-01
6.788294e-01 7.241170e-01 6.458670e-01
6.716616e-01 7.273082e-01 6.492410e-01
6.644938e-01 7.304994e-01 6.520690e-01
6.573260e-01 7.336907e-01 6.543540e-01
6.501583e-01 7.368829e-01 6.560990e-01
6.429905e-01 7.400741e-01 6.573070e-01
6.358227e-01 7.432654e-01 6.579820e-01
6.286549e-01 7.464566e-01 6.581290e-01
6.214871e-01 7.496479e-01 6.577530e-01
6.143184e-01 7.528391e-01 6.568580e-01
6.071506e-01 7.560303e-01 6.554530e-01
5.999828e-01 7.592216e-01 6.535420e-01
5.928150e-01 7.624128e-01 6.511340e-01
5.856472e-01 7.656041e-01 6.482350e-01
5.784795e-01 7.687953e-01 6.448550e-01
5.713117e-01 7.719875e-01 6.410000e-01
5.641439e-01 7.751788e-01 6.366820e-01
5.569761e-01 7.783700e-01 6.319080e-01
5.498083e-01 7.815612e-01 6.266900e-01
5.426405e-01 7.847525e-01 6.210370e-01
5.354728e-01 7.879437e-01 6.149600e-01
5.283050e-01 7.911350e-01 6.084710e-01
5.211372e-01 7.943262e-01 6.015810e-01
5.139694e-01 7.975174e-01 5.943020e-01
5.068016e-01 8.007087e-01 5.866460e-01
4.996329e-01 8.038999e-01 5.786270e-01
4.924651e-01 8.070922e-01 5.702570e-01
4.852973e-01 8.102834e-01 5.615500e-01
4.781295e-01 8.134746e-01 5.525190e-01
4.709617e-01 8.166659e-01 5.431790e-01
4.637940e-01 8.198571e-01 5.335440e-01
4.566262e-01 8.230483e-01 5.236290e-01
4.494584e-01 8.262396e-01 5.134480e-01
4.422906e-01 8.294308e-01 5.030160e-01
4.351228e-01 8.326221e-01 4.923490e-01
4.279550e-01 8.358133e-01 4.814620e-01
4.207873e-01 8.390045e-01 4.703710e-01
4.136195e-01 8.421968e-01 4.590920e-01
4.064517e-01 8.453880e-01 4.476410e-01
3.992839e-01 8.485792e-01 4.360340e-01
3.921161e-01 8.517705e-01 4.242870e-01
3.849474e-01 8.549617e-01 4.124160e-01
3.777796e-01 8.581530e-01 4.004390e-01
3.706118e-01 8.613442e-01 3.883700e-01
3.634440e-01 8.645354e-01 3.762280e-01
3.562762e-01 8.677267e-01 3.640290e-01
3.491085e-01 8.709179e-01 3.517890e-01
3.419407e-01 8.741092e-01 3.395240e-01
3.347729e-01 8.773014e-01 3.272520e-01
3.276051e-01 8.804926e-01 3.149890e-01
3.204373e-01 8.836839e-01 3.027500e-01
3.132695e-01 8.868751e-01 2.905540e-01
3.061018e-01 8.900663e-01 2.784150e-01
2.989340e-01 8.932576e-01 2.663500e-01
2.917662e-01 8.964488e-01 2.543740e-01
2.845984e-01 8.996401e-01 2.425050e-01
2.774306e-01 9.028313e-01 2.307570e-01
2.702619e-01 9.060225e-01 2.191460e-01
2.630941e-01 9.092138e-01 2.076870e-01
2.559263e-01 9.124060e-01 1.963950e-01
2.487585e-01 9.155973e-01 1.852850e-01
2.415907e-01 9.187885e-01 1.743720e-01
2.344230e-01 9.219797e-01 1.636690e-01
2.272552e-01 9.251710e-01 1.531920e-01
2.200874e-01 9.283622e-01 1.429530e-01
2.129196e-01 9.315534e-01 1.329660e-01
2.057518e-01 9.347447e-01 1.232440e-01
1.985841e-01 9.379359e-01 1.137990e-01
1.914163e-01 9.411272e-01 1.046450e-01
1.842485e-01 9.443184e-01 9.579300e-02
1.770807e-01 9.475106e-01 8.725500e-02
1.699129e-01 9.507019e-01 7.904200e-02
1.627451e-01 9.538931e-01 7.116400e-02
1.555764e-01 9.570843e-01 6.363200e-02
1.484086e-01 9.602756e-01 5.645700e-02
1.412408e-01 9.634668e-01 4.964700e-02
1.340730e-01 9.666581e-01 4.321200e-02
1.269052e-01 9.698493e-01 3.715900e-02
1.197375e-01 9.730405e-01 3.149900e-02
1.125697e-01 9.762318e-01 2.623700e-02
1.054019e-01 9.794230e-01 2.138100e-02
9.823411e-02 9.826153e-01 1.693800e-02
9.106633e-02 9.858065e-01 1.291400e-02
8.389855e-02 9.889977e-01 9.314000e-03
7.673077e-02 9.921890e-01 6.144000e-03
6.956299e-02 9.953802e-01 3.408000e-03
7.114771e-01 7.009930e-01 6.363230e-01
7.043093e-01 7.041842e-01 6.425900e-01
6.971415e-01 7.073755e-01 6.483050e-01
6.899737e-01 7.105667e-01 6.534680e-01
6.828059e-01 7.137579e-01 6.580790e-01
6.756381e-01 7.169492e-01 6.621380e-01
6.684704e-01 7.201404e-01 6.656470e-01
6.613026e-01 7.233317e-01 6.686070e-01
6.541348e-01 7.265229e-01 6.710200e-01
6.469670e-01 7.297141e-01 6.728890e-01
6.397992e-01 7.329064e-01 6.742170e-01
6.326315e-01 7.360976e-01 6.750070e-01
6.254627e-01 7.392888e-01 6.752650e-01
6.182949e-01 7.424801e-01 6.749950e-01
6.111271e-01 7.456713e-01 6.742030e-01
6.039593e-01 7.488626e-01 6.728940e-01
5.967916e-01 7.520538e-01 6.710740e-01
5.896238e-01 7.552450e-01 6.687520e-01
